source_id,source_name,target_id,target_name,relationship,best_confidence,method_count,avg_score
naics:238220,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ss_65_80,Air conditioning systems,semantically_similar,A,2,0.489
naics:23812,Structural Steel and Precast Concrete Contractors,uc:Ss_30_10_30_60,Precast concrete roof structure systems,semantically_similar,A,2,0.488
naics:238120,Structural Steel and Precast Concrete Contractors,uc:Ss_30_10_30_60,Precast concrete roof structure systems,semantically_similar,A,2,0.488
naics:23832,Painting and Wall Covering Contractors,uc:Ac_25_20_60,Painting,semantically_similar,A,2,0.486
naics:238320,Painting and Wall Covering Contractors,uc:Ac_25_20_60,Painting,semantically_similar,A,2,0.486
naics:23816,Roofing Contractors,uc:Ss_30_40_92_85,Thatch roofing systems,semantically_similar,A,2,0.483
naics:238160,Roofing Contractors,uc:Ss_30_40_92_85,Thatch roofing systems,semantically_similar,A,2,0.483
naics:236118,Residential Remodelers,uc:En_35_50_70,Residential welfare buildings,semantically_similar,A,2,0.481
naics:23811,Poured Concrete Foundation and Structure Contractors,uc:Pr_20_85_13_32,Concrete foundation pads,semantically_similar,A,2,0.474
naics:238110,Poured Concrete Foundation and Structure Contractors,uc:Pr_20_85_13_32,Concrete foundation pads,semantically_similar,A,2,0.474
naics:2373,"Highway, Street, and Bridge Construction",uc:Ac_80_35,Highway activities,semantically_similar,A,2,0.47
naics:23731,"Highway, Street, and Bridge Construction",uc:Ac_80_35,Highway activities,semantically_similar,A,2,0.47
naics:237310,"Highway, Street, and Bridge Construction",uc:Ac_80_35,Highway activities,semantically_similar,A,2,0.47
naics:23622,Commercial and Institutional Building Construction,uc:Co_20_50,Commercial complexes,semantically_similar,A,2,0.467
naics:236220,Commercial and Institutional Building Construction,uc:Co_20_50,Commercial complexes,semantically_similar,A,2,0.467
naics:23622,Commercial and Institutional Building Construction,uc:En_20_50,Commercial entities,semantically_similar,A,2,0.461
naics:236220,Commercial and Institutional Building Construction,uc:En_20_50,Commercial entities,semantically_similar,A,2,0.461
naics:236118,Residential Remodelers,uc:En_45_10_90,Temporary residential buildings,semantically_similar,A,2,0.46
naics:23822,"Plumbing, Heating, and Air-Conditioning Contractors",uc:En_65,Ventilation and air conditioning entities,semantically_similar,A,2,0.458
naics:238220,"Plumbing, Heating, and Air-Conditioning Contractors",uc:En_65,Ventilation and air conditioning entities,semantically_similar,A,2,0.458
naics:23622,Commercial and Institutional Building Construction,uc:Ac_20_50,Commercial activities,semantically_similar,A,2,0.457
naics:236220,Commercial and Institutional Building Construction,uc:Ac_20_50,Commercial activities,semantically_similar,A,2,0.457
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:Ac_70_60_49,Low-voltage electrical installation testing and inspecting,semantically_similar,A,2,0.454
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:Ac_70_60_49,Low-voltage electrical installation testing and inspecting,semantically_similar,A,2,0.454
naics:23822,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Co_65,Ventilation and air conditioning complexes,semantically_similar,A,2,0.451
naics:238220,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Co_65,Ventilation and air conditioning complexes,semantically_similar,A,2,0.451
naics:2362,Nonresidential Building Construction,uc:Ac_10_40,Construction,semantically_similar,A,2,0.449
naics:23822,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ac_65,Ventilation and air conditioning activities,semantically_similar,A,2,0.449
naics:238220,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ac_65,Ventilation and air conditioning activities,semantically_similar,A,2,0.449
